district,pop,part,full,boost,partq,fullq,boostq
Alb-Donau-Kreis,198204,139315,140814,94653,0.7028869245827531,0.710449839559242,0.4775534297996004
Baden-Baden,55449,47040,46695,40298,0.8483471297949468,0.84212519612617,0.7267579216938087
Biberach,202250,138711,140717,98412,0.6858393077873919,0.6957577255871447,0.4865859085290482
Böblingen,392898,270271,268817,193242,0.6878910047900473,0.6841902987543841,0.4918375761648061
Bodenseekreis,217901,158264,159668,115270,0.7263114900803576,0.7327547831354606,0.5290017026080651
Breisgau-Hochschwarzwald,264867,198056,195682,137937,0.7477564211472173,0.7387934321753937,0.5207783529091959
Calw,160149,108529,110540,71362,0.6776751650025913,0.6902322212439665,0.4455975372933955
Emmendingen,166862,126534,125599,91121,0.7583152545217006,0.7527118217449149,0.5460859872229746
Enzkreis,199752,130340,131353,80699,0.6525091112980095,0.6575803996956225,0.4039959549841804
Esslingen,533617,368460,369621,257871,0.690495242842713,0.6926709606328134,0.4832510958234089
Freiburg im Breisgau,230940,180105,178361,144489,0.7798778903611328,0.7723261453191305,0.6256560145492336
Freudenstadt,118364,96113,94871,97962,0.8120120982731236,0.801519042952249,0.82763340204792
Göppingen,258781,179219,181170,118017,0.6925508441500728,0.7000900375220747,0.4560497099864364
Heidelberg,158741,122299,119945,94625,0.7704310795572662,0.7556018923907497,0.596096786589476
Heidenheim,132812,87170,89327,61007,0.6563412944613438,0.6725822967804114,0.4593485528416107
"Heilbronn, Land",346363,237544,236808,154862,0.685823832222264,0.6836988939349757,0.44710895794296734
"Heilbronn, Stadt",126458,92222,95255,62461,0.7292697970867797,0.7532540448212055,0.49392683736892884
Hohenlohekreis,112765,76928,75761,56529,0.6821974903560502,0.6718485345630293,0.5012991619740168
"Karlsruhe, Land",446852,326123,327270,233448,0.7298232971990726,0.7323901425975491,0.5224280074834621
"Karlsruhe, Stadt",308436,221263,220349,159711,0.7173708646202129,0.7144075270072235,0.5178092051511497
Konstanz,286876,203232,203451,150916,0.7084315174500481,0.7091949134817831,0.5260670115311145
Lörrach,228842,164259,163826,113075,0.7177834488424327,0.715891313657458,0.4941182125658751
Ludwigsburg,544971,369935,371697,226843,0.6788159369948126,0.68204913655956,0.41624783704087004
Main-Tauber-Kreis,132684,95816,97653,71268,0.7221368062464201,0.7359817310301167,0.537125802658949
Mannheim,309721,228701,224829,158307,0.7384097300473652,0.7259081560501225,0.5111277569167089
Neckar-Odenwald-Kreis,143797,99239,101648,70348,0.6901326175094056,0.7068854009471686,0.4892174384722908
Ortenaukreis,432580,309209,304054,209571,0.714801886356281,0.7028850154884646,0.4844676129270886
Ostalbkreis,314294,223810,222773,161164,0.7121039536230408,0.7088044951542186,0.5127810266820239
Pforzheim,126016,83645,82267,64336,0.6637649187404774,0.6528297993905536,0.510538344337227
Rastatt,232091,162758,165665,115740,0.7012680371061351,0.7137932965948701,0.4986837059601622
Ravensburg,285888,199778,198708,144103,0.6987981307365122,0.6950554063129617,0.5040540351466308
Rems-Murr-Kreis,427286,291724,293261,220018,0.6827370894436046,0.6863342117457628,0.5149197493014047
Reutlingen,287497,204365,205610,143095,0.7108422000925227,0.7151726800627485,0.4977269328027771
Rhein-Neckar-Kreis,548233,404439,402397,295498,0.737713709317024,0.7339890156192713,0.5390007533293326
Rottweil,140166,97671,100547,71811,0.696823766105903,0.7173422941369519,0.5123282393733145
Schwäbisch Hall,197860,130356,133177,89339,0.658829475386637,0.673087031234206,0.451526331749722
Schwarzwald-Baar-Kreis,212872,149392,152034,100713,0.701792626554925,0.7142038408057424,0.47311529933481156
Sigmaringen,130946,87728,88295,63443,0.6699555541979136,0.6742855833702442,0.484497426420051
Stuttgart,630305,442702,439984,300643,0.7023615551201402,0.6980493570572976,0.4769801921292073
Tübingen,228471,168307,170151,127051,0.73666679797436,0.7447378441902911,0.5560924581237882
Tuttlingen,141682,93941,96146,61939,0.6630411767196962,0.6786041981338491,0.4371691534563318
Ulm,126405,101398,101330,77816,0.8021676357739014,0.8016296823701594,0.6156085597879831
Waldshut,171237,119059,122815,88246,0.6952878174693553,0.7172223292863108,0.5153442305109293
Zollernalbkreis,189862,122934,123607,70568,0.6474913358123269,0.6510360156324067,0.3716804837197544
Baden-Württemberg,11103043,7858904,7874548,5559827,0.7078153259426267,0.7092243090475286,0.5007480381729585
